Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Se81 ; 8.90044E-6 ; 5.69628E-6 ; 1.002E-5 ; 6.4128E-6
Se81m ; 6.52433E-5 ; 4.17557E-5 ; 1.152E-4 ; 7.3728E-5
Se82 ; 5.50397E-4 ; 3.52254E-4 ; 6.9207E-4 ; 4.42925E-4
Se83 ; 0.00167695 ; 0.00107325 ; 0.00171975 ; 0.00110064
Se83m ; 3.43527E-4 ; 2.19857E-4 ; 2.126E-4 ; 1.36064E-4
Se84 ; 0.00612359 ; 0.00391909 ; 0.00459786 ; 0.00294263
Se85 ; 0.00542897 ; 0.00347454 ; 0.00428014 ; 0.00273929
Se85m ; 0.00540661 ; 0.00346023 ; 0.00423906 ; 0.002713
Se86 ; 0.0109445 ; 0.00350225 ; 0.00770642 ; 0.00493211
Se87 ; 0.00786222 ; 0.00503182 ; 0.00641596 ; 0.00410621
Se88 ; 0.00398497 ; 0.00255038 ; 0.00247463 ; 0.00158376
Se89 ; 0.00113214 ; 7.24567E-4 ; 9.4157E-4 ; 6.02605E-4
Se90 ; 2.09791E-4 ; 1.34266E-4 ; 1.75095E-4 ; 1.12061E-4
Se91 ; 2.15647E-5 ; 1.38014E-5 ; 2.25531E-5 ; 1.4434E-5
Se92 ; 1.47003E-6 ; 9.40819E-7 ; 2.12935E-6 ; 1.36278E-6
Se93 ; 4.98463E-8 ; 3.19016E-8 ; 2.6668E-7 ; 1.70675E-7
Se94 ; 9.67048E-10 ; 6.18911E-10 ; 4.41E-9 ; 2.8224E-9
Se95 ; 7.84392E-12 ; 5.02011E-12 ; 2.26791E-10 ; 1.45146E-10
Se96 ; 1.28006E-13 ; 8.19241E-14 ; 1.97E-12 ; 1.2608E-12
Br75 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77 ; 0.0 ; 0.0 ; 9.91E-14 ; 6.3424E-14
Br77m ; 0.0 ; 0.0 ; 6.09E-13 ; 3.8976E-13
Br78 ; 5.51028E-13 ; 3.52658E-13 ; 5.02E-11 ; 3.2128E-11
Br79 ; 1.49007E-11 ; 9.53648E-12 ; 2.87E-10 ; 1.8368E-10
Br79m ; 5.61028E-11 ; 3.59058E-11 ; 1.77E-9 ; 1.1328E-9
Br80 ; 8.0604E-10 ; 5.15866E-10 ; 8.37E-9 ; 5.3568E-9
Br80m ; 2.86014E-9 ; 1.83049E-9 ; 4.74E-8 ; 3.0336E-8
Br81 ; 1.50007E-7 ; 9.60048E-8 ; 1.14E-6 ; 7.296E-7
Br82 ; 2.25011E-6 ; 1.44007E-6 ; 1.391E-5 ; 8.9024E-6
Br82m ; 8.33042E-7 ; 5.33147E-7 ; 3.05E-6 ; 1.952E-6
Br83 ; 4.57823E-5 ; 2.93007E-5 ; 1.2116E-4 ; 7.75424E-5
Br84 ; 1.15376E-4 ; 7.38405E-5 ; 1.6268E-4 ; 1.04115E-4
Br84m ; 2.45172E-4 ; 1.5691E-4 ; 5.7676E-4 ; 3.69126E-4
Br85 ; 0.00208006 ; 0.00133124 ; 0.00334767 ; 0.00214251
Br86 ; 0.00257106 ; 0.00164548 ; 0.00365957 ; 0.00234212
Br86m ; 0.00256422 ; 0.0016411 ; 0.00365601 ; 0.00233985
Br87 ; 0.0118227 ; 0.00378328 ; 0.0146453 ; 0.00468649
Br88 ; 0.0137945 ; 0.00441424 ; 0.0135532 ; 0.00433703
Br89 ; 0.0138048 ; 0.00441753 ; 0.0127355 ; 0.00407538
Br90 ; 0.00641988 ; 0.00410872 ; 0.00604621 ; 0.00386957
Br91 ; 0.0026441 ; 0.00169223 ; 0.00203078 ; 0.0012997
Br92 ; 4.89594E-4 ; 3.1334E-4 ; 5.0011E-4 ; 3.2007E-4
Br93 ; 6.56034E-5 ; 4.19862E-5 ; 7.35532E-5 ; 4.70741E-5
Br94 ; 3.9202E-6 ; 2.50893E-6 ; 7.81E-6 ; 4.9984E-6
Br95 ; 2.62079E-7 ; 1.6773E-7 ; 7.40108E-7 ; 4.73669E-7
Br96 ; 6.40032E-9 ; 4.0962E-9 ; 2.53E-8 ; 1.6192E-8
Br97 ; 6.19556E-11 ; 3.96516E-11 ; 7.9341E-10 ; 5.07783E-10
Br98 ; 3.20254E-12 ; 2.04962E-12 ; 4.65631E-11 ; 2.98004E-11
Br99 ; 1.08902E-12 ; 6.96972E-13 ;  ; 
Kr77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79 ; 0.0 ; 0.0 ; 1.07E-13 ; 6.848E-14
Kr79m ; 0.0 ; 0.0 ; 1.07E-13 ; 6.848E-14
Kr80 ; 2.0901E-13 ; 1.33767E-13 ; 1.59E-11 ; 1.0176E-11
Kr81 ; 2.18011E-11 ; 1.39527E-11 ; 8.42E-10 ; 5.3888E-10
Kr81m ; 2.97015E-12 ; 1.90089E-12 ; 6.34E-11 ; 4.0576E-11
Kr82 ; 2.28011E-9 ; 1.45927E-9 ; 3.8E-8 ; 2.432E-8
Kr83 ; 8.15041E-8 ; 5.21626E-8 ; 6.53E-7 ; 4.1792E-7
Kr83m ; 1.67008E-8 ; 1.06885E-8 ; 8.08E-8 ; 5.1712E-8
Kr84 ; 3.32017E-6 ; 2.12491E-6 ; 1.19E-5 ; 7.616E-6
Kr85 ; 4.64523E-5 ; 2.97295E-5 ; 1.3003E-4 ; 8.32192E-5
Kr85m ; 9.51047E-6 ; 6.0867E-6 ; 1.607E-5 ; 1.02848E-5
Kr86 ; 5.07025E-4 ; 3.24496E-4 ; 8.1977E-4 ; 5.24653E-4
Kr87 ; 0.00257038 ; 0.00164504 ; 0.00394706 ; 0.00252612
Kr88 ; 0.0100354 ; 0.00321134 ; 0.00883511 ; 0.00565447
Kr89 ; 0.0228173 ; 0.00730154 ; 0.0196047 ; 0.0062735
Kr90 ; 0.0364541 ; 0.0116653 ; 0.0224108 ; 0.00717147
Kr91 ; 0.0346526 ; 0.0110888 ; 0.0183508 ; 0.00587225
Kr92 ; 0.0238046 ; 0.00761746 ; 0.0111196 ; 0.00355828
Kr93 ; 0.00818349 ; 0.00523743 ; 0.00424275 ; 0.00271536
Kr94 ; 0.00198982 ; 0.00127348 ; 0.00118936 ; 7.6119E-4
Kr95 ; 3.44925E-4 ; 2.20752E-4 ; 2.0413E-4 ; 1.30643E-4
Kr96 ; 3.73419E-5 ; 2.38988E-5 ; 2.656E-5 ; 1.69984E-5
Kr97 ; 2.07004E-6 ; 1.32483E-6 ; 2.58921E-6 ; 1.65709E-6
Kr98 ; 1.07002E-7 ; 6.84814E-8 ; 1.51953E-7 ; 9.72502E-8
