Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; (E=2 MeV) ; (E=2 MeV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge70 ; 4.54994E-14 ; 2.91196E-14 ; 4.00972E-14 ; 2.56622E-14 ; 4.00945E-14 ; 2.56605E-14 ; 1.27299E-11 ; 8.14715E-12
Ge71 ; 9.99988E-13 ; 6.39992E-13 ; 1.50989E-12 ; 9.66332E-13 ; 1.50979E-12 ; 9.66267E-13 ; 1.64386E-10 ; 1.05207E-10
Ge71m ; 9.99988E-13 ; 6.39992E-13 ; 1.50989E-12 ; 9.66332E-13 ; 1.50979E-12 ; 9.66267E-13 ; 1.64386E-10 ; 1.05207E-10
Ge72 ; 1.28998E-10 ; 8.2559E-11 ; 1.82988E-10 ; 1.17112E-10 ; 1.82981E-10 ; 1.17104E-10 ; 5.863772E-9 ; 3.752821E-9
Ge73 ; 2.39997E-9 ; 1.53598E-9 ; 2.579809E-9 ; 1.651085E-9 ; 2.580364E-9 ; 1.650975E-9 ; 6.4551E-8 ; 4.131295E-8
Ge73m ; 5.61993E-10 ; 3.59676E-10 ; 5.27963E-10 ; 3.37897E-10 ; 5.27958E-10 ; 3.37874E-10 ; 7.96872E-9 ; 5.099988E-9
Ge74 ; 5.59993E-8 ; 3.58396E-8 ; 7.22925E-8 ; 4.626803E-8 ; 7.247393E-8 ; 4.626492E-8 ; 6.002902E-7 ; 3.842097E-7
Ge75 ; 7.879899E-8 ; 5.04314E-8 ; 7.819451E-8 ; 5.004401E-8 ; 7.835329E-8 ; 5.004064E-8 ; 3.277689E-7 ; 2.097703E-7
Ge75m ; 5.26994E-7 ; 3.37276E-7 ; 5.739569E-7 ; 3.671313E-7 ; 5.82757E-7 ; 3.671067E-7 ; 3.768654E-6 ; 2.407844E-6
Ge76 ; 5.11994E-6 ; 3.27676E-6 ; 6.705815E-6 ; 4.221654E-6 ; 7.276851E-6 ; 4.221371E-6 ; 1.921373E-5 ; 1.209195E-5
Ge77 ; 2.32197E-5 ; 1.48606E-5 ; 3.301327E-5 ; 1.924228E-5 ; 3.904384E-5 ; 1.924098E-5 ; 5.662621E-5 ; 3.349559E-5
Ge77m ; 3.46996E-6 ; 2.22077E-6 ; 4.509047E-6 ; 2.881566E-6 ; 4.621082E-6 ; 2.881371E-6 ; 4.269487E-6 ; 2.731672E-6
Ge78 ; 1.18169E-4 ; 7.562789E-5 ; 1.299666E-4 ; 4.463491E-5 ; 1.720418E-4 ; 4.463209E-5 ; 1.766379E-4 ; 8.242253E-5
Ge79 ; 1.48803E-4 ; 9.523399E-5 ; 2.039155E-4 ; 1.00768E-4 ; 2.628331E-4 ; 1.007614E-4 ; 2.325192E-4 ; 1.250345E-4
