Product , High (14 MeV) 
Product ,  
Product , Yield 
Sb125 ,0.00079092
Sb126 ,0.00180487
Sb126m ,0.00067558
Sb126n ,0.00067558
Sb127 ,0.00589723
Sb128 ,0.00538217
Sb128m ,0.0040601
Sb129 ,0.01711
Sb130 ,0.0110742
Sb130m ,0.00835418
Sb131 ,0.0152476
Sb132 ,0.00431431
Sb132m ,0.00674802
Sb133 ,0.00348699
Sb134 ,0.000450915
Sb134m ,0.000450915
Sb135 ,0.00013259
Sb136 ,0.00001753
Sb137 ,0.00000099
Sb138 ,0.0000000545
Sb139 ,0.00000000215
Sb140 ,7.02091E-11
Sb141 ,  
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,5.22E-14
Te120 ,2.83E-12
Te121 ,5.85E-11
Te121m ,5.85E-11
Te122 ,0.00000000269
Te123 ,0.00000000729
Te123m ,0.0000000448
Te124 ,0.000000853
Te125 ,0.00000139
Te125m ,0.00000856
Te126 ,0.00009568
Te127 ,0.00006144
Te127m ,0.00027988
Te128 ,0.00088147
Te129 ,0.00065807
Te129m ,0.00299788
Te130 ,0.00949715
Te131 ,0.00315855
Te131m ,0.0143889
Te132 ,0.0300536
Te133 ,0.00427491
Te133m ,0.0194746
Te134 ,0.0151722
Te135 ,0.00580565
Te136 ,0.00196014
Te137 ,0.00028822
Te138 ,0.000041
Te139 ,0.00000412
Te140 ,0.00000021393
Te141 ,0.00000000468396
Te142 ,3.5E-10
Te143 ,5.50792E-11
Te144 ,  
I121 ,0
I123 ,9.56E-12
I125 ,0.000000012
I126 ,0.000000291
I127 ,0.00000205
I128 ,0.00000881
I129 ,0.00008893
I130 ,0.00046072
I130m ,0.00010113
I131 ,0.00256609
I132 ,0.00528669
I132m ,0.00528669
I133 ,0.0102782
I133m ,0.0102782
I134 ,0.0120631
I134m ,0.0188684
I135 ,0.0288201
I136 ,0.011647
I136m ,0.0116432
I137 ,0.00842842
I138 ,0.00296038
I139 ,0.00073377
I140 ,0.00009546
I141 ,0.0000103553
I142 ,0.00000103
I143 ,0.000000121769
I144 ,8.89096E-10
I145 ,6.08045E-11
I146 ,  
Xe124 ,0
Xe125 ,6.45E-13
Xe125m ,6.45E-13
Xe126 ,8.07E-11
Xe127 ,5.7E-10
Xe127m ,5.7E-10
Xe128 ,0.00000000835
Xe129 ,0.0000001065
Xe129m ,0.0000001065
Xe130 ,0.00000345
Xe131 ,0.00000747
Xe131m ,0.00003404
Xe132 ,0.00043972
Xe133 ,0.00040148
Xe133m ,0.00182898
Xe134 ,0.00146571
Xe134m ,0.00667712
Xe135 ,0.00330846
Xe135m ,0.0150716
Xe136 ,0.0342299
Xe137 ,0.0287058
Xe138 ,0.0233748
Xe139 ,0.0134804
Xe140 ,0.00418032
Xe141 ,0.00113133
Xe142 ,0.00028039
Xe143 ,0.0000157941
Xe143m ,0.0000157941
Xe144 ,0.00000270911
Xe145 ,0.000000170939
Xe146 ,0.00000000702
Xe147 ,1.79794E-10
Xe148 ,3.22E-12
Xe149 ,  
Xe150 ,0
Cs127 ,5.63E-14
Cs129 ,4.64E-11
Cs131 ,0.000000065
Cs132 ,0.00000186
Cs133 ,0.00002619
Cs134 ,0.000123965
Cs134m ,0.000123965
Cs135 ,0.000721695
Cs135m ,0.000721695
Cs136 ,0.00239355
Cs136m ,0.00239355
Cs137 ,0.0126712
Cs138 ,0.0116746
Cs138m ,0.0116757
Cs139 ,0.0298219
Cs140 ,0.0207534
Cs141 ,0.0131569
Cs142 ,0.00766995
Cs143 ,0.00209
Cs144 ,0.0004388
Cs145 ,0.0000691
Cs146 ,0.0000072
Cs147 ,0.000000397488
Cs148 ,0.0000000217
Cs149 ,3.22513E-10
Cs150 ,1.4E-11
Cs151 ,  
Ba129 ,0
Ba131 ,9.13E-12
Ba132 ,7.23E-10
Ba133 ,0.0000000293
Ba134 ,0.000000754
