Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Cd129 ,0.000000017
Cd130 ,0.00000458
Cd131 ,0.000000308994
Cd132 ,0.0000000106998
Cd133 ,7.05126E-11
Cd134 ,1.12E-12
Cd136 ,0
In107 ,0
In109 ,0
In111 ,0
In112 ,0
In112m ,0
In113 ,0
In113m ,0
In114 ,0
In114m ,1.53E-14
In115 ,1.33E-12
In115m ,3.12E-13
In116 ,4.24E-11
In116m ,4.24E-11
In116n ,4.24E-11
In117 ,0.0000000043
In117m ,0.00000000101
In118 ,0.0000000775
In118m ,0.0000000129
In118n ,0.0000000129
In119 ,0.00000111
In119m ,0.000000261
In120 ,0.00000248
In120m ,0.00000248
In120n ,0.00000248
In121 ,0.00002977
In121m ,0.00000698
In122 ,0.0000263667
In122m ,0.0000263667
In122n ,0.0000263667
In123 ,0.00010599
In123m ,0.00002486
In124 ,0.000088765
In124m ,0.000088765
In125 ,0.000086
In125m ,0.000086
In126 ,0.000126775
In126m ,0.000126775
In127 ,0.00022026
In127m ,0.00022026
In128 ,0.000244845
In128m ,0.000244845
In129 ,0.00020336
In129m ,0.00020336
In130 ,0.00028395
In130m ,0.00028395
In130n ,0.00028395
In131 ,0.000134105
In131m ,0.000134105
In132 ,0.00002946
In133 ,0.00000223993
In134 ,0.0000000524
In135 ,1.42452E-10
In136 ,7.43E-12
In137 ,8.49235E-14
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,0
Sn115 ,0
Sn116 ,0
Sn117 ,1.745E-13
Sn117m ,1.745E-13
Sn118 ,3.66E-11
Sn119 ,3.66E-10
Sn119m ,0.00000000123
Sn120 ,0.000000044
Sn121 ,0.000000191
Sn121m ,0.000000467
Sn122 ,0.00000631
Sn123 ,0.00001856
Sn123m ,0.00000758
Sn124 ,0.00008069
Sn125 ,0.00008668
Sn125m ,0.00003541
Sn126 ,0.00045057
Sn127 ,0.00096355
Sn127m ,0.00039356
Sn128 ,0.0022366
Sn128m ,0.0022366
