Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Rb92 ; 0.0258869 ; 0.00828382 ; 0.0289552 ; 0.00926566
Rb93 ; 0.0159109 ; 0.00509148 ; 0.0230453 ; 0.0073745
Rb94 ; 0.00790921 ; 0.00506189 ; 0.00940181 ; 0.00601716
Rb95 ; 0.00257709 ; 0.00164934 ; 0.00356474 ; 0.00228144
Rb96 ; 6.5418E-4 ; 4.18675E-4 ; 6.4744E-4 ; 4.14362E-4
Rb97 ; 1.056E-4 ; 6.7584E-5 ; 9.66801E-5 ; 6.18752E-5
Rb98 ; 1.286E-5 ; 8.2304E-6 ; 6.3E-6 ; 4.032E-6
Rb99 ; 1.01678E-6 ; 6.50739E-7 ; 2.17847E-7 ; 1.39422E-7
Rb100 ; 4.96E-8 ; 3.1744E-8 ; 7.35001E-9 ; 4.704E-9
Rb101 ; 1.28009E-9 ; 8.19261E-10 ; 5.45096E-11 ; 3.48862E-11
Rb102 ; 9.4487E-11 ; 6.04717E-11 ; 1.59291E-12 ; 1.01946E-12
Rb103 ;  ;  ; 1.8442E-13 ; 1.18029E-13
Sr83 ; 3.2E-12 ; 2.048E-12 ; 0.0 ; 0.0
Sr84 ; 2.58E-10 ; 1.6512E-10 ; 1.45E-12 ; 9.28001E-13
Sr85 ; 8.25E-9 ; 5.28E-9 ; 7.25001E-11 ; 4.64E-11
Sr85m ; 8.25E-9 ; 5.28E-9 ; 7.25001E-11 ; 4.64E-11
Sr86 ; 3.47E-7 ; 2.2208E-7 ; 1.59E-8 ; 1.0176E-8
Sr87 ; 6.56E-6 ; 4.1984E-6 ; 3.06E-7 ; 1.9584E-7
Sr87m ; 8.1E-7 ; 5.184E-7 ; 6.26E-8 ; 4.0064E-8
Sr88 ; 9.085E-5 ; 5.8144E-5 ; 1.003E-5 ; 6.4192E-6
Sr89 ; 6.5037E-4 ; 4.16237E-4 ; 1.3882E-4 ; 8.88449E-5
Sr90 ; 0.00309921 ; 0.00198349 ; 0.0012941 ; 8.28225E-4
Sr91 ; 0.00944784 ; 0.00604662 ; 0.00629805 ; 0.00403075
Sr92 ; 0.0194087 ; 0.00621078 ; 0.0206696 ; 0.00661427
Sr93 ; 0.0268044 ; 0.0085774 ; 0.0336112 ; 0.00773057
Sr94 ; 0.029252 ; 0.00936064 ; 0.0487207 ; 0.0155906
Sr95 ; 0.0216847 ; 0.0069391 ; 0.040511 ; 0.0129635
