Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Se76 ; 4.27989E-11 ; 2.73913E-11 ; 1.46E-10 ; 9.344E-11 ; 3.05E-9 ; 1.952E-9
Se77 ; 2.74993E-10 ; 1.75996E-10 ; 8.27E-10 ; 5.2928E-10 ; 5.22E-9 ; 3.3408E-9
Se77m ; 1.83995E-9 ; 1.17757E-9 ; 6.06E-9 ; 3.8784E-9 ; 6.01E-8 ; 3.8464E-8
Se78 ; 9.63976E-8 ; 6.16945E-8 ; 2.07E-7 ; 1.3248E-7 ; 9.82999E-7 ; 6.2912E-7
Se79 ; 2.61993E-6 ; 1.67676E-6 ; 2.76E-6 ; 1.7664E-6 ; 1.045E-5 ; 6.688E-6
Se79m ; 3.9199E-7 ; 2.50874E-7 ; 3.76E-7 ; 2.4064E-7 ; 7.87E-7 ; 5.0368E-7
Se80 ; 3.34392E-5 ; 1.07005E-5 ; 5.51E-5 ; 3.5264E-5 ; 8.95999E-5 ; 5.7344E-5
Se81 ; 3.19992E-5 ; 3.51991E-6 ; 5.293E-5 ; 3.38752E-5 ; 4.41E-5 ; 2.8224E-5
Se81m ; 2.13995E-4 ; 2.35394E-5 ; 3.8814E-4 ; 2.4841E-4 ; 5.0717E-4 ; 3.24589E-4
Se82 ; 0.00185137 ; 1.11082E-4 ; 0.00238093 ; 0.0015238 ; 0.00223548 ; 0.00143071
Se83 ; 0.00401271 ; 2.40763E-4 ; 0.00464494 ; 0.00106834 ; 0.00546367 ; 0.00349675
Se83m ; 9.39386E-4 ; 3.75755E-5 ; 0.00118641 ; 7.59302E-4 ; 6.7554E-4 ; 4.32345E-4
Se84 ; 0.0123845 ; 0.00557304 ; 0.0122386 ; 0.00281488 ; 0.0112021 ; 0.00257649
Se85 ; 0.00588121 ; 0.00376398 ; 0.00639453 ; 0.0040925 ; 0.00503095 ; 0.00321981
Se85m ; 0.00588121 ; 0.00376398 ; 0.00638793 ; 0.00408827 ; 0.00501584 ; 0.00321014
Se86 ; 0.0080084 ; 0.00512538 ; 0.0101075 ; 0.00323441 ; 0.00661978 ; 0.00423666
Se87 ; 0.00328442 ; 0.00210203 ; 0.0041433 ; 0.00265171 ; 0.00285651 ; 0.00182817
Se88 ; 0.00109169 ; 6.98683E-4 ; 0.00125746 ; 8.04774E-4 ; 0.00106141 ; 6.79302E-4
