Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ga86 ; 2.32E-9 ; 1.4848E-9 ; 3.74E-9 ; 2.3936E-9 ; 5.77E-8 ; 3.6928E-8
Ga87 ; 1.75301E-11 ; 1.12193E-11 ; 2.96509E-11 ; 1.89766E-11 ; 8.42654E-10 ; 5.39298E-10
Ga88 ; 8.07896E-13 ; 5.17053E-13 ; 1.41471E-12 ; 9.05413E-13 ; 5.59655E-11 ; 3.58179E-11
Ga89 ; 7.53488E-14 ; 4.82233E-14 ; 2.03333E-13 ; 1.30133E-13 ; 1.27983E-11 ; 8.19094E-12
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge71 ; 0.0 ; 0.0 ; 1.31E-14 ; 8.384E-15 ; 1.21E-14 ; 7.744E-15
Ge71m ; 0.0 ; 0.0 ; 1.31E-14 ; 8.384E-15 ; 1.21E-14 ; 7.744E-15
Ge72 ; 1.04E-13 ; 6.656E-14 ; 2.11E-12 ; 1.3504E-12 ; 1.0E-12 ; 6.4E-13
Ge73 ; 5.29E-12 ; 3.3856E-12 ; 6.31E-11 ; 4.0384E-11 ; 1.65E-11 ; 1.056E-11
Ge73m ; 1.24E-12 ; 7.936E-13 ; 1.29E-11 ; 8.256E-12 ; 3.88E-12 ; 2.4832E-12
Ge74 ; 2.82E-10 ; 1.8048E-10 ; 3.55E-9 ; 2.272E-9 ; 5.35E-10 ; 3.424E-10
Ge75 ; 8.17E-10 ; 5.2288E-10 ; 5.27E-9 ; 3.3728E-9 ; 4.37E-10 ; 2.7968E-10
Ge75m ; 5.47E-9 ; 3.5008E-9 ; 3.87E-8 ; 2.4768E-8 ; 2.93E-9 ; 1.8752E-9
Ge76 ; 9.36E-8 ; 5.9904E-8 ; 5.98E-7 ; 3.8272E-7 ; 6.34E-8 ; 4.0576E-8
Ge77 ; 2.22E-6 ; 1.4208E-6 ; 5.93E-6 ; 3.7952E-6 ; 4.47E-6 ; 2.8608E-6
Ge77m ; 3.32E-7 ; 2.1248E-7 ; 8.08E-7 ; 5.1712E-7 ; 6.67E-7 ; 4.2688E-7
Ge78 ; 1.875E-5 ; 1.2E-5 ; 3.86E-5 ; 2.4704E-5 ; 3.522E-5 ; 2.25408E-5
Ge79 ; 1.897E-5 ; 1.21408E-5 ; 8.4205E-5 ; 5.38912E-5 ; 6.297E-5 ; 4.03008E-5
Ge79m ; 1.897E-5 ; 1.21408E-5 ; 8.4205E-5 ; 5.38912E-5 ; 6.297E-5 ; 4.03008E-5
Ge80 ; 1.3672E-4 ; 8.75008E-5 ; 3.675E-4 ; 2.352E-4 ; 3.0605E-4 ; 1.95872E-4
Ge81 ; 2.6167E-4 ; 1.67469E-4 ; 5.6923E-4 ; 3.64307E-4 ; 5.0905E-4 ; 3.25792E-4
Ge82 ; 2.8811E-4 ; 1.8439E-4 ; 5.6234E-4 ; 3.59898E-4 ; 5.3644E-4 ; 3.43322E-4
Ge83 ; 2.8783E-4 ; 1.84211E-4 ; 3.6005E-4 ; 2.30432E-4 ; 4.6322E-4 ; 2.96461E-4
Ge84 ; 1.5212E-4 ; 9.73568E-5 ; 2.0312E-4 ; 1.29997E-4 ; 1.765E-4 ; 1.1296E-4
Ge85 ; 4.258E-5 ; 2.72512E-5 ; 4.507E-5 ; 2.88448E-5 ; 1.5563E-4 ; 9.96032E-5
Ge86 ; 6.49E-6 ; 4.1536E-6 ; 7.74E-6 ; 4.9536E-6 ; 2.578E-5 ; 1.64992E-5
