Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Zn69m ; 1.11E-10 ; 7.10401E-11 ; 1.72001E-11 ; 1.10081E-11 ; 1.43997E-11 ; 9.21579E-12 ; 1.79E-9 ; 1.1456E-9
Zn70 ; 2.91E-9 ; 1.8624E-9 ; 6.39003E-10 ; 4.08962E-10 ; 5.11988E-10 ; 3.27673E-10 ; 3.39E-8 ; 2.1696E-8
Zn71 ; 5.49E-9 ; 3.5136E-9 ; 2.99002E-9 ; 1.91361E-9 ; 2.03995E-9 ; 1.30557E-9 ; 4.81E-8 ; 3.0784E-8
Zn71m ; 2.34E-8 ; 1.4976E-8 ; 1.27001E-8 ; 8.12804E-9 ; 9.96978E-9 ; 6.38066E-9 ; 3.89E-7 ; 2.4896E-7
Zn72 ; 3.73E-7 ; 2.3872E-7 ; 3.03002E-7 ; 1.93921E-7 ; 1.91996E-7 ; 1.22877E-7 ; 3.04E-6 ; 1.9456E-6
Zn73 ; 7.18001E-7 ; 4.5952E-7 ; 1.76001E-6 ; 1.12641E-6 ; 1.03998E-6 ; 6.65585E-7 ; 2.115E-5 ; 1.3536E-5
Zn74 ; 2.28E-6 ; 1.4592E-6 ; 9.20005E-6 ; 5.88803E-6 ; 5.01989E-6 ; 3.21273E-6 ; 9.376E-5 ; 6.00064E-5
Zn75 ; 4.59E-6 ; 2.9376E-6 ; 2.70801E-5 ; 1.73313E-5 ; 1.79896E-5 ; 1.15133E-5 ; 2.7441E-4 ; 1.75622E-4
Zn76 ; 7.86001E-6 ; 5.0304E-6 ; 8.06904E-5 ; 5.16419E-5 ; 4.91789E-5 ; 3.14745E-5 ; 5.3748E-4 ; 3.43987E-4
Zn77 ; 6.87001E-6 ; 4.3968E-6 ; 1.09441E-4 ; 7.0042E-5 ; 6.36286E-5 ; 4.07223E-5 ; 6.0389E-4 ; 3.8649E-4
Zn78 ; 3.48E-6 ; 2.2272E-6 ; 1.68241E-4 ; 1.07674E-4 ; 1.09188E-4 ; 6.988E-5 ; 6.0115E-4 ; 3.84736E-4
Zn79 ; 4.74E-6 ; 3.0336E-6 ; 5.38503E-5 ; 3.44642E-5 ; 6.86085E-5 ; 4.39094E-5 ; 3.5706E-4 ; 2.28518E-4
Zn80 ; 9.31001E-7 ; 5.95841E-7 ; 1.21001E-5 ; 7.74404E-6 ; 3.28193E-5 ; 2.10043E-5 ; 1.4705E-4 ; 9.4112E-5
Zn81 ; 4.78E-8 ; 3.0592E-8 ; 1.78001E-6 ; 1.13921E-6 ; 9.21979E-6 ; 5.90067E-6 ; 3.877E-5 ; 2.48128E-5
Zn82 ; 1.28E-9 ; 8.19201E-10 ; 1.79001E-7 ; 1.14561E-7 ; 1.37997E-6 ; 8.8318E-7 ; 6.18E-6 ; 3.9552E-6
Zn83 ; 8.55001E-12 ; 5.472E-12 ; 1.25999E-9 ; 8.06392E-10 ; 9.95967E-8 ; 6.37419E-8 ; 6.19911E-7 ; 3.96743E-7
