Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Rb81 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb83 ; 6.72999E-12 ; 4.3072E-12 ; 1.1E-12 ; 7.04E-13
Rb84 ; 6.25E-10 ; 4.0E-10 ; 1.04E-10 ; 6.656E-11
Rb85 ; 2.7E-8 ; 1.728E-8 ; 7.05E-9 ; 4.512E-9
Rb86 ; 4.015E-7 ; 2.5696E-7 ; 1.09E-7 ; 6.976E-8
Rb86m ; 4.015E-7 ; 2.5696E-7 ; 1.09E-7 ; 6.976E-8
Rb87 ; 1.468E-5 ; 9.39519E-6 ; 5.93E-6 ; 3.7952E-6
Rb88 ; 1.4198E-4 ; 9.08671E-5 ; 6.568E-5 ; 4.20352E-5
Rb89 ; 8.42509E-4 ; 5.39206E-4 ; 5.4318E-4 ; 3.47635E-4
Rb90 ; 6.0144E-4 ; 3.84921E-4 ; 3.494E-4 ; 2.23616E-4
Rb90m ; 0.00257129 ; 0.00164562 ; 0.00170479 ; 0.00109107
Rb91 ; 0.00820349 ; 0.00525024 ; 0.00661912 ; 0.0029786
Rb92 ; 0.013336 ; 0.00426753 ; 0.0118863 ; 0.00380361
Rb93 ; 0.0150389 ; 0.00481245 ; 0.0160167 ; 0.00512535
Rb94 ; 0.0112685 ; 0.00360593 ; 0.0112135 ; 0.00358831
Rb95 ; 0.00540899 ; 0.00346175 ; 0.00629109 ; 0.0040263
Rb96 ; 0.00173368 ; 0.00110955 ; 0.00197713 ; 0.00126536
Rb97 ; 3.4307E-4 ; 2.19565E-4 ; 4.8367E-4 ; 3.09549E-4
Rb98 ; 4.175E-5 ; 2.672E-5 ; 6.55E-5 ; 4.192E-5
Rb99 ; 9.46216E-7 ; 6.05578E-7 ; 1.55793E-6 ; 9.97073E-7
Rb100 ; 1.71E-7 ; 1.0944E-7 ; 3.22E-7 ; 2.0608E-7
Rb101 ; 1.49856E-8 ; 9.59081E-9 ; 3.14712E-8 ; 2.01416E-8
Rb102 ; 4.36454E-11 ; 2.7933E-11 ; 8.09092E-11 ; 5.17819E-11
Rb103 ; 2.22531E-12 ; 1.4242E-12 ; 3.74092E-12 ; 2.39419E-12
Rb104 ; 3.70396E-14 ; 2.37053E-14 ;  ; 
Sr83 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Sr84 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Sr85 ; 7.64999E-13 ; 4.896E-13 ; 1.375E-13 ; 8.8E-14
Sr85m ; 7.64999E-13 ; 4.896E-13 ; 1.375E-13 ; 8.8E-14
Sr86 ; 1.62E-10 ; 1.0368E-10 ; 3.71E-11 ; 2.3744E-11
Sr87 ; 8.74999E-9 ; 5.6E-9 ; 2.38E-9 ; 1.5232E-9
