Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge76 ; 7.17E-7 ; 4.5888E-7 ; 3.17E-6 ; 2.0288E-6 ; 4.9684E-5 ; 3.17977E-5
Ge77 ; 4.74E-6 ; 3.0336E-6 ; 1.548E-5 ; 9.9072E-6 ; 1.75119E-4 ; 1.12076E-4
Ge77m ; 7.08E-7 ; 4.5312E-7 ; 2.11E-6 ; 1.3504E-6 ; 1.31837E-5 ; 8.43757E-6
Ge78 ; 4.656E-5 ; 2.97984E-5 ; 9.004E-5 ; 5.76256E-5 ; 4.78795E-4 ; 3.06429E-4
Ge79 ; 7.071E-5 ; 4.52544E-5 ; 1.5969E-4 ; 1.02202E-4 ; 4.54593E-4 ; 2.90939E-4
Ge79m ; 7.071E-5 ; 4.52544E-5 ; 1.5969E-4 ; 1.02202E-4 ; 4.54593E-4 ; 2.90939E-4
Ge80 ; 2.3122E-4 ; 1.47981E-4 ; 6.7804E-4 ; 4.33946E-4 ; 0.00114925 ; 7.35522E-4
Ge81 ; 5.4357E-4 ; 3.47885E-4 ; 0.00107252 ; 6.86413E-4 ; 0.00107615 ; 6.88738E-4
Ge82 ; 4.5698E-4 ; 2.92467E-4 ; 7.9571E-4 ; 5.09254E-4 ; 7.23783E-4 ; 4.63221E-4
Ge83 ; 2.3471E-4 ; 1.50214E-4 ; 3.2896E-4 ; 2.10534E-4 ; 3.05226E-4 ; 1.95345E-4
Ge84 ; 6.503E-5 ; 4.16192E-5 ; 9.635E-5 ; 6.1664E-5 ; 8.43737E-5 ; 5.39992E-5
Ge85 ; 1.405E-5 ; 8.992E-6 ; 1.54E-5 ; 9.856E-6 ; 1.82751E-5 ; 1.16961E-5
Ge86 ; 1.26E-6 ; 8.064E-7 ; 1.57E-6 ; 1.0048E-6 ; 2.11059E-6 ; 1.35078E-6
Ge87 ; 7.70984E-8 ; 4.9343E-8 ; 1.10995E-7 ; 7.10368E-8 ; 1.97029E-7 ; 1.26099E-7
Ge88 ; 3.02994E-9 ; 1.93916E-9 ; 4.12986E-9 ; 2.64311E-9 ; 1.17017E-8 ; 7.48911E-9
Ge89 ; 2.48368E-11 ; 1.58955E-11 ; 6.85068E-11 ; 4.38443E-11 ; 3.16074E-10 ; 2.02287E-10
Ge90 ; 1.13099E-12 ; 7.23835E-13 ; 4.80384E-12 ; 3.07445E-12 ; 2.6909E-11 ; 1.72217E-11
Ge91 ; 7.64017E-14 ; 4.88971E-14 ;  ;  ;  ; 
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.32065E-14 ; 1.48522E-14
As72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.48042E-12 ; 9.47466E-13
As73 ; 0.0 ; 0.0 ; 1.34E-13 ; 8.576E-14 ; 6.73189E-11 ; 4.30841E-11
As74 ; 1.65E-13 ; 1.056E-13 ; 2.16E-12 ; 1.3824E-12 ; 3.67103E-10 ; 2.34946E-10
As74m ; 3.84E-13 ; 2.4576E-13 ; 5.83E-12 ; 3.7312E-12 ; 1.67047E-9 ; 1.0691E-9
As75 ; 3.31E-11 ; 2.1184E-11 ; 3.43E-10 ; 2.1952E-10 ; 3.96111E-8 ; 2.53511E-8
As76 ; 2.37E-9 ; 1.5168E-9 ; 2.2E-8 ; 1.408E-8 ; 5.94167E-7 ; 3.80267E-7
As77 ; 7.42E-8 ; 4.7488E-8 ; 3.53E-7 ; 2.2592E-7 ; 5.86165E-6 ; 3.75145E-6
As78 ; 1.6E-6 ; 1.024E-6 ; 5.03E-6 ; 3.2192E-6 ; 3.84708E-5 ; 2.46213E-5
As79 ; 1.817E-5 ; 1.16288E-5 ; 4.762E-5 ; 3.04768E-5 ; 1.82351E-4 ; 1.16705E-4
As80 ; 6.705E-5 ; 4.2912E-5 ; 2.5953E-4 ; 1.66099E-4 ; 5.60327E-4 ; 3.5861E-4
As81 ; 5.5369E-4 ; 3.54362E-4 ; 0.00110562 ; 7.07597E-4 ; 0.00127874 ; 8.18393E-4
As82 ; 5.3081E-4 ; 3.39718E-4 ; 0.00110365 ; 7.06336E-4 ; 0.00105226 ; 6.73444E-4
As82m ; 5.3081E-4 ; 3.39718E-4 ; 0.00110377 ; 7.06413E-4 ; 0.0010524 ; 6.73533E-4
As83 ; 0.00208586 ; 0.00133495 ; 0.00259777 ; 0.00166257 ; 0.00227732 ; 0.00145748
As84 ; 7.2642E-4 ; 4.64909E-4 ; 0.00113829 ; 7.28506E-4 ; 8.17255E-4 ; 5.23043E-4
As84m ; 7.2642E-4 ; 4.64909E-4 ; 0.00113829 ; 7.28506E-4 ; 8.17255E-4 ; 5.23043E-4
As85 ; 0.00131612 ; 8.42317E-4 ; 0.00114453 ; 7.32499E-4 ; 9.53108E-4 ; 6.09989E-4
As86 ; 3.3129E-4 ; 2.12026E-4 ; 3.6179E-4 ; 2.31546E-4 ; 3.05006E-4 ; 1.95204E-4
As87 ; 9.225E-5 ; 5.904E-5 ; 8.144E-5 ; 5.21216E-5 ; 7.89022E-5 ; 5.04974E-5
As88 ; 1.011E-5 ; 6.4704E-6 ; 9.81E-6 ; 6.2784E-6 ; 1.31537E-5 ; 8.41837E-6
As89 ; 7.88975E-7 ; 5.04944E-7 ; 6.87932E-7 ; 4.40276E-7 ; 1.60013E-6 ; 1.02409E-6
As90 ; 3.59276E-8 ; 2.29936E-8 ; 3.53374E-8 ; 2.2616E-8 ; 1.36227E-7 ; 8.71855E-8
As91 ; 2.42701E-9 ; 1.55328E-9 ; 2.30343E-10 ; 1.47419E-10 ; 1.00643E-9 ; 6.44112E-10
