Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
I136 ,0.00900682
I136m ,0.00900682
I137 ,0.0136318
I138 ,0.035962
I139 ,0.0241538
I140 ,0.0103731
I141 ,0.00286546
I142 ,0.00042332
I143 ,0.0000712116
I144 ,0.000000710584
I145 ,0.0000000705739
I146 ,0.00000000405694
I147 ,6.56648E-13
I148 ,8.10183E-14
Xe124 ,0
Xe125 ,0
Xe125m ,0
Xe126 ,0
Xe127 ,0
Xe127m ,0
Xe128 ,0
Xe129 ,0
Xe129m ,0
Xe130 ,0
Xe131 ,2.25995E-12
Xe131m ,6.41986E-12
Xe132 ,0.00000000156996
Xe133 ,0.0000000312993
Xe133m ,0.000000089098
Xe134 ,0.00000136997
Xe134m ,0.00000370992
Xe135 ,0.0000265294
Xe135m ,0.0000755083
Xe136 ,0.00112264
Xe137 ,0.00238892
Xe138 ,0.0208291
Xe139 ,0.0447613
Xe140 ,0.0572887
Xe141 ,0.0412373
Xe142 ,0.0224944
Xe143 ,0.00347916
Xe143m ,0.00347916
Xe144 ,0.00234278
Xe145 ,0.000197625
Xe146 ,0.0000133756
Xe147 ,0.0000000613332
Xe148 ,0.00000000890972
Xe149 ,1.98429E-12
Xe150 ,2.81994E-13
Xe151 ,1.83811E-14
Cs127 ,0
Cs129 ,0
Cs131 ,0
Cs132 ,0
Cs133 ,1.82996E-12
Cs134 ,1.51997E-10
Cs134m ,1.51997E-10
Cs135 ,0.0000000157996
Cs135m ,0.0000000157996
Cs136 ,0.000000814982
Cs136m ,0.000000814982
Cs137 ,0.0336017
Cs138 ,0.000183236
Cs138m ,0.000183236
Cs139 ,0.00233923
Cs140 ,0.0110644
Cs141 ,0.0290297
Cs142 ,0.0352723
Cs143 ,0.0407129
Cs144 ,0.0296205
Cs145 ,0.00990344
Cs146 ,0.00202793
Cs147 ,0.000114972
Cs148 ,0.0000198796
Cs149 ,0.00000012407
Cs150 ,0.0000000103998
Cs151 ,0.0000000011493
Cs152 ,1.25483E-13
Cs153 ,2.02641E-15
Cs154 ,4.95566E-18
Ba129 ,0
Ba131 ,0
Ba132 ,0
Ba133 ,0
Ba134 ,0
Ba135 ,2.21995E-13
Ba135m ,2.21995E-13
Ba136 ,2.35995E-10
Ba136m ,2.35995E-10
Ba137 ,0.00000000110997
Ba137m ,0.00000000316993
Ba138 ,0.00000044899
Ba139 ,0.0000101398
Ba140 ,0.000166266
Ba141 ,0.00192148
Ba142 ,0.00641639
Ba143 ,0.0183028
Ba144 ,0.0448877
Ba145 ,0.0378613
Ba146 ,0.0275656
Ba147 ,0.0112343
Ba148 ,0.00312883
Ba149 ,0.000347428
Ba150 ,0.0000241895
Ba151 ,0.00000321833
Ba152 ,0.0000000137996
Ba153 ,1.89273E-10
Ba154 ,5.44983E-13
Ba155 ,1.00482E-15
Ba156 ,6.96559E-17
La133 ,0
La135 ,0
La137 ,2.19995E-14
La138 ,8.10982E-12
La139 ,8.7298E-10
La140 ,0.0000000484989
La141 ,0.00000180996
La142 ,0.0000250094
La143 ,0.000296663
La144 ,0.00203214
La145 ,0.00645251
La146 ,0.00783587
La146m ,0.00783587
La147 ,0.0162398
La148 ,0.0112106
La149 ,0.00472319
La150 ,0.000965628
La151 ,0.000210516
La152 ,0.00000753983
La153 ,0.000000354803
La154 ,0.0000000045799
La155 ,6.28276E-11
La156 ,3.69916E-12
La157 ,2.52659E-15
La158 ,4.54648E-17
La159 ,8.04855E-19
Ce135 ,0
Ce137 ,0
Ce138 ,0
